iter	RMSE
0	0.8651783937
1	0.8555238309
2	0.8467064102
3	0.8380478215
4	0.8300930163
5	0.8222247135
6	0.8149156617
7	0.807987039
8	0.8019659759
9	0.7963691069
10	0.7913169072
11	0.7862348141
12	0.7814065459
13	0.7769047532
14	0.7730330749
15	0.7689473614
16	0.7648739611
17	0.7607314553
18	0.7573741589
19	0.7546533711
20	0.7510188529
21	0.7481391362
22	0.7452725616
23	0.7422950999
24	0.7403173206
25	0.738124272
26	0.735789231
27	0.7334401087
28	0.7317495626
29	0.7304458881
30	0.7286299077
31	0.7271269189
32	0.7252723913
33	0.7233207084
34	0.7220821214
35	0.7209012837
36	0.7193091273
37	0.7180329959
38	0.716503468
39	0.7153874777
40	0.7141323305
41	0.7130100054
42	0.7115822958
43	0.7102509871
44	0.7091916129
45	0.7079993371
46	0.7073157432
47	0.7062273857
48	0.7051599967
49	0.7044871062
50	0.7036303413
51	0.7026443516
52	0.7018918569
53	0.7007141342
54	0.7000452103
55	0.6995303879
56	0.6985950986
57	0.698122577
58	0.6972940098
59	0.6966262222
60	0.6959087702
61	0.6949884384
62	0.6942675485
63	0.6937720016
64	0.6930132177
65	0.6924616939
66	0.6916344841
67	0.6908263916
68	0.6901304768
69	0.6894124242
70	0.688769836
71	0.6878503885
72	0.6870516416
73	0.6864986426
74	0.6857695787
75	0.6853599664
76	0.6850215832
77	0.6843881371
78	0.6835347129
79	0.6831386149
80	0.6822826491
81	0.6816527348
82	0.6811571443
83	0.6809247732
84	0.680280861
85	0.6797299605
86	0.6791447744
87	0.6786300089
88	0.6783103234
89	0.6777919122
90	0.6773514333
91	0.6769807796
92	0.6762622485
93	0.6761036962
94	0.6758163868
95	0.6752808575
96	0.6750149635
97	0.6746597359
98	0.6741321427
99	0.6738528334
100	0.673227043
101	0.6730113218
102	0.6727746732
103	0.6724180415
104	0.6721828624
105	0.6716970888
106	0.6714223016
107	0.6707776866
108	0.6702965232
109	0.6697051476
110	0.6694251551
111	0.668926774
112	0.6685170964
113	0.6680635083
114	0.6676350154
115	0.667267384
116	0.6670928536
117	0.6666827777
118	0.6663327678
119	0.6660512524
120	0.6657078496
121	0.6650338706
122	0.6648474662
123	0.6645837643
124	0.6641836023
125	0.663843666
126	0.6636579047
127	0.6632293947
128	0.6629295387
129	0.6625808055
130	0.6623613599
131	0.6620799652
132	0.6617219893
133	0.6615726202
134	0.6614431345
135	0.6610274625
136	0.6603707019
137	0.6600184899
138	0.6597000936
139	0.6594562345
140	0.6592057772
141	0.6589740531
142	0.6588571534
143	0.658471193
144	0.6583980378
145	0.6579419687
146	0.6576704927
147	0.6572050671
148	0.656732175
149	0.6564098403
150	0.655848145
151	0.6556952945
152	0.6554078125
153	0.6552555233
154	0.6551484126
155	0.6548776257
156	0.6545234029
157	0.6542523244
158	0.6540210317
159	0.6535927772
160	0.6530582504
161	0.6526349693
162	0.6522025884
163	0.6521016849
164	0.6518117261
165	0.6515569523
166	0.6508983782
167	0.6505837746
168	0.6503749687
169	0.6501539308
170	0.6500753513
171	0.6499804987
172	0.6498112348
173	0.6493362814
174	0.6489876452
175	0.6483636694
176	0.6481529549
177	0.6477684932
178	0.6471553744
179	0.6467303883
180	0.6466477645
181	0.6463991931
182	0.6459975508
183	0.645799757
184	0.645346907
185	0.6448594132
186	0.6447711098
187	0.6443887401
188	0.6443228911
189	0.6441946175
190	0.6441275267
191	0.6438143154
192	0.6435826217
193	0.6435293966
194	0.6435091213
195	0.6430687362
196	0.6429327155
197	0.6428651324
198	0.6425995975
199	0.6425769398
200	0.6425211871
201	0.6424921377
202	0.6420170883
203	0.6419929361
204	0.641796844
205	0.6415124377
206	0.6411177411
207	0.640744849
208	0.6405674713
209	0.6399716865
210	0.6397528751
211	0.6397048742
212	0.6393276349
213	0.6393050437
214	0.639259405
215	0.6388511732
216	0.638343265
217	0.6380027243
218	0.6379395154
219	0.6376244746
220	0.6373341506
221	0.6370261285
222	0.6368833195
223	0.6366425692
224	0.636427209
225	0.6361956103
226	0.6358524333
227	0.6355469082
228	0.6352004794
229	0.6350308253
230	0.6346604639
231	0.6343077933
232	0.6342828257
233	0.6342360753
234	0.6338222148
235	0.633405937
236	0.6331381939
237	0.6329189553
238	0.632894885
239	0.6328548601
240	0.6328373939
241	0.6327749153
242	0.6327514522
243	0.6326910961
244	0.6322612296
245	0.6320506506
246	0.631755186
247	0.6317069113
248	0.6314647115
249	0.6310390467
250	0.6307450569
251	0.6306930169
252	0.6301912816
253	0.6298469918
254	0.6296687625
255	0.6295087212
256	0.6292875263
257	0.6289979339
258	0.6285477269
259	0.6282165957
260	0.6279564374
261	0.627665557
262	0.6274735625
263	0.6271518691
264	0.627005704
265	0.6269804242
266	0.6266701166
267	0.6263005958
268	0.6260159738
269	0.6259919352
270	0.6256586065
271	0.6254489289
272	0.6253035371
273	0.6251543698
274	0.6247873032
275	0.6245923953
276	0.6242739364
277	0.6240869812
278	0.6237265699
279	0.6234788224
280	0.6230969558
281	0.6229455711
282	0.622563845
283	0.6223775422
284	0.6221263145
285	0.6217086185
286	0.6214576256
287	0.6212396262
288	0.6209854463
289	0.6207295176
290	0.6204633382
291	0.6202580591
292	0.6200382196
293	0.6196078833
294	0.6193305762
295	0.61900818
296	0.6189004206
297	0.6187942925
298	0.6186138473
299	0.618380544
