iter	Passed	Remaining
0	147	44087
1	150	22395
2	153	15156
3	155	11541
4	158	9364
5	161	7932
6	164	6874
7	166	6071
8	168	5447
9	170	4944
10	172	4532
11	174	4188
12	176	3903
13	178	3654
14	181	3442
15	183	3256
16	185	3093
17	188	2947
18	190	2817
19	192	2698
20	194	2589
21	196	2489
22	199	2397
23	201	2313
24	203	2234
25	205	2166
26	207	2099
27	209	2036
28	211	1978
29	213	1925
30	216	1875
31	218	1828
32	220	1784
33	222	1742
34	224	1700
35	227	1666
36	229	1632
37	232	1600
38	234	1568
39	236	1536
40	238	1507
41	240	1477
42	242	1449
43	244	1423
44	247	1401
45	249	1377
46	251	1354
47	253	1332
48	255	1308
49	257	1285
50	258	1263
51	260	1243
52	262	1223
53	265	1208
54	267	1191
55	269	1174
56	271	1157
57	273	1140
58	275	1124
59	277	1109
60	279	1095
61	281	1080
62	283	1066
63	285	1053
64	287	1040
65	289	1026
66	291	1014
67	293	1003
68	296	991
69	298	979
70	300	968
71	302	957
72	304	946
73	306	935
74	308	926
75	310	915
76	312	905
77	314	896
78	317	886
79	319	877
80	321	869
81	323	860
82	326	852
83	328	844
84	330	835
85	332	827
86	334	819
87	336	811
88	338	803
89	341	796
90	343	788
91	345	780
92	347	773
93	349	765
94	351	758
95	353	751
96	355	744
97	357	737
98	359	730
99	361	723
100	363	716
101	365	709
102	367	703
103	370	697
104	372	691
105	374	685
106	376	679
107	378	672
108	380	667
109	383	661
110	385	656
111	387	650
112	389	644
113	392	640
114	394	635
115	397	630
116	399	625
117	401	619
118	404	615
119	406	609
120	408	604
121	411	600
122	413	594
123	415	589
124	417	584
125	420	580
126	422	575
127	424	570
128	426	565
129	428	560
130	431	556
131	433	551
132	435	546
133	437	542
134	440	537
135	442	533
136	444	528
137	446	524
138	448	519
139	450	515
140	453	511
141	455	506
142	457	502
143	460	498
144	462	494
145	464	489
146	466	485
147	468	481
148	470	476
149	472	472
150	475	468
151	477	464
152	479	460
153	481	456
154	483	451
155	485	447
156	487	443
157	488	439
158	490	435
159	492	431
160	494	427
161	497	423
162	499	419
163	501	415
164	503	411
165	505	407
166	507	404
167	509	399
168	511	396
169	513	392
170	515	388
171	516	384
172	518	380
173	520	376
174	522	373
175	524	369
176	526	365
177	528	362
178	530	358
179	532	355
180	534	351
181	536	348
182	539	344
183	541	341
184	543	337
185	545	334
186	547	331
187	550	327
188	552	324
189	554	321
190	557	317
191	559	314
192	561	311
193	563	307
194	565	304
195	567	301
196	569	297
197	571	294
198	573	291
199	576	288
200	578	284
201	579	281
202	581	277
203	583	274
204	585	271
205	587	268
206	589	264
207	591	261
208	594	258
209	596	255
210	598	252
211	600	249
212	602	245
213	604	242
214	605	239
215	608	236
216	610	233
217	612	230
218	614	227
219	616	224
220	618	220
221	620	217
222	622	214
223	624	211
224	626	208
225	628	205
226	631	202
227	633	199
228	635	197
229	637	193
230	639	190
231	641	188
232	643	185
233	645	182
234	647	179
235	649	176
236	652	173
237	654	170
238	656	167
239	658	164
240	660	161
241	662	158
242	664	155
243	666	152
244	668	150
245	670	147
246	672	144
247	674	141
248	676	138
249	678	135
250	681	132
251	683	130
252	687	127
253	689	124
254	691	122
255	694	119
256	696	116
257	698	113
258	700	110
259	702	108
260	704	105
261	706	102
262	708	99
263	710	96
264	712	94
265	713	91
266	715	88
267	717	85
268	720	82
269	721	80
270	724	77
271	726	74
272	728	72
273	730	69
274	732	66
275	734	63
276	736	61
277	739	58
278	741	55
279	743	53
280	745	50
281	747	47
282	749	45
283	750	42
284	752	39
285	754	36
286	756	34
287	758	31
288	760	28
289	762	26
290	764	23
291	767	21
292	769	18
293	772	15
294	774	13
295	776	10
296	778	7
297	780	5
298	782	2
299	784	0
